id_nodo,gas,temperatura,distancia,tiempo,tipo
4,499,38,12,2023-02-20 22:56:37Z,verde
0,79,119,26,2023-04-12 19:49:44Z,roja
9,43,115,43,2023-04-25 02:53:15Z,roja
1,228,50,36,2023-03-08 22:46:03Z,amarilla
1,267,158,44,2023-01-14 20:40:09Z,roja
3,439,68,8,2023-03-07 00:50:43Z,amarilla
4,203,94,9,2023-01-15 07:50:57Z,amarilla
7,384,46,14,2023-01-10 22:02:34Z,verde
5,335,202,45,2023-02-16 09:45:11Z,roja
8,24,49,37,2023-04-20 17:22:17Z,verde
3,264,218,43,2023-02-01 21:51:40Z,roja
0,386,184,7,2023-01-27 21:25:11Z,roja
3,135,90,33,2023-02-09 01:16:11Z,amarilla
9,166,218,27,2023-03-04 04:49:18Z,roja
1,251,106,24,2023-04-03 12:26:51Z,roja
5,144,76,7,2023-03-11 14:48:24Z,amarilla
8,23,127,27,2023-03-20 09:14:21Z,roja
6,409,76,20,2023-04-11 06:43:44Z,amarilla
5,52,195,23,2023-02-15 13:12:29Z,roja
6,184,224,40,2023-01-27 20:02:36Z,roja
9,340,231,45,2023-01-21 17:30:39Z,roja
6,251,168,33,2023-01-25 00:38:08Z,roja
4,61,47,45,2023-01-06 01:50:41Z,verde
4,169,99,6,2023-02-25 09:26:58Z,amarilla
8,300,39,45,2023-03-07 15:01:56Z,verde
9,386,216,43,2023-02-01 16:26:48Z,roja
9,289,45,42,2023-01-10 12:13:40Z,verde
7,382,240,6,2023-01-16 12:09:39Z,roja
5,158,134,38,2023-03-14 03:41:31Z,roja
7,152,216,16,2023-03-25 14:27:43Z,roja
9,298,210,48,2023-01-17 14:54:38Z,roja
3,33,33,29,2023-02-06 21:03:58Z,verde
9,91,46,48,2023-04-06 19:32:12Z,verde
2,317,83,45,2023-03-18 00:05:35Z,amarilla
3,436,68,12,2023-01-13 07:29:40Z,amarilla
4,339,174,24,2023-01-20 18:05:05Z,roja
3,393,195,0,2023-02-16 07:00:52Z,roja
8,423,102,39,2023-03-06 16:13:41Z,roja
0,251,109,40,2023-01-19 20:16:29Z,roja
1,30,249,40,2023-01-12 21:11:39Z,roja
5,194,118,0,2023-02-14 06:22:50Z,roja
0,80,186,36,2023-03-10 03:07:36Z,roja
8,478,243,32,2023-03-28 14:18:30Z,roja
6,194,156,3,2023-01-16 11:58:07Z,roja
6,287,36,9,2023-02-13 08:00:31Z,verde
1,34,182,25,2023-03-26 12:43:32Z,roja
4,281,108,31,2023-03-03 01:36:37Z,roja
6,247,250,16,2023-03-05 06:56:29Z,roja
9,57,193,10,2023-03-14 18:26:23Z,roja
6,198,103,20,2023-03-28 19:57:53Z,roja
9,389,47,44,2023-02-16 00:27:35Z,verde
3,384,99,26,2023-02-07 10:48:10Z,amarilla
0,282,31,21,2023-01-17 12:06:31Z,verde
8,304,16,38,2023-03-28 09:25:55Z,verde
1,402,40,2,2023-01-25 12:31:04Z,verde
0,484,194,19,2023-04-25 20:53:29Z,roja
2,310,135,1,2023-03-06 16:24:44Z,roja
0,284,218,28,2023-01-10 08:33:00Z,roja
9,103,183,27,2023-02-09 10:31:01Z,roja
1,271,200,39,2023-01-21 00:47:39Z,roja
1,19,54,26,2023-02-15 18:32:55Z,amarilla
1,444,11,7,2023-04-28 09:56:12Z,verde
4,212,31,42,2023-02-05 04:32:11Z,verde
7,153,239,32,2023-04-05 01:43:27Z,roja
2,245,14,29,2023-01-03 00:24:42Z,verde
2,241,53,3,2023-03-06 11:22:22Z,amarilla
6,155,32,44,2023-02-11 13:51:28Z,verde
9,242,124,31,2023-03-24 03:32:45Z,roja
8,245,171,32,2023-03-28 12:12:05Z,roja
4,272,12,35,2023-01-17 15:47:49Z,verde
8,186,152,47,2023-04-19 19:11:49Z,roja
9,371,243,49,2023-03-25 20:20:16Z,roja
7,202,66,37,2023-04-28 01:51:56Z,amarilla
3,426,15,30,2023-04-03 14:22:52Z,verde
4,329,126,19,2023-01-17 22:55:29Z,roja
4,441,46,14,2023-01-20 19:09:56Z,verde
0,221,123,48,2023-01-12 02:42:52Z,roja
4,227,137,44,2023-03-13 21:53:01Z,roja
1,486,161,19,2023-02-28 10:31:43Z,roja
3,248,236,36,2023-01-20 20:49:46Z,roja
0,285,196,47,2023-02-01 05:13:03Z,roja
6,66,180,13,2023-03-25 14:13:20Z,roja
0,162,198,34,2023-04-14 17:01:11Z,roja
8,263,14,37,2023-03-06 04:17:29Z,verde
3,47,56,11,2023-04-16 04:12:32Z,amarilla
3,256,33,43,2023-03-11 08:28:02Z,verde
0,465,154,23,2023-04-23 01:01:02Z,roja
7,146,216,49,2023-03-18 20:49:57Z,roja
8,196,196,3,2023-03-21 14:55:01Z,roja
5,222,164,18,2023-02-19 05:08:30Z,roja
0,355,75,28,2023-03-12 16:35:12Z,amarilla
0,370,192,6,2023-04-15 09:22:06Z,roja
4,216,163,23,2023-02-02 10:34:48Z,roja
9,224,29,8,2023-01-13 01:12:24Z,verde
6,191,135,10,2023-02-04 08:43:08Z,roja
9,224,53,2,2023-01-15 10:07:36Z,amarilla
4,195,186,5,2023-03-26 07:19:53Z,roja
3,23,95,29,2023-01-10 04:13:05Z,amarilla
1,358,96,27,2023-01-08 21:44:16Z,amarilla
5,288,29,2,2023-01-21 15:25:47Z,verde
1,213,130,28,2023-03-05 08:56:23Z,roja
0,234,14,31,2023-01-21 05:23:08Z,verde
9,50,185,43,2023-01-05 00:33:39Z,roja
2,422,96,24,2023-03-01 09:21:19Z,amarilla
6,388,143,47,2023-03-05 11:10:23Z,roja
6,64,109,26,2023-03-19 08:55:49Z,roja
4,254,248,5,2023-03-22 17:00:46Z,roja
8,489,230,26,2023-01-11 11:03:29Z,roja
5,20,45,6,2023-04-24 17:00:23Z,verde
3,306,126,4,2023-02-20 18:24:22Z,roja
4,477,63,28,2023-01-16 06:26:45Z,amarilla
2,262,248,39,2023-03-07 18:14:45Z,roja
5,47,85,0,2023-04-28 01:13:04Z,amarilla
5,484,182,15,2023-02-16 14:43:55Z,roja
5,491,150,7,2023-03-16 06:36:08Z,roja
7,285,144,19,2023-01-16 06:22:31Z,roja
4,180,149,34,2023-01-29 09:36:02Z,roja
1,500,141,8,2023-04-11 10:56:27Z,roja
3,97,51,16,2023-04-29 11:26:32Z,amarilla
8,437,170,33,2023-04-21 01:11:30Z,roja
8,309,142,7,2023-04-23 10:55:34Z,roja
7,489,21,5,2023-04-18 09:06:34Z,verde
1,475,133,22,2023-01-21 11:53:16Z,roja
1,194,126,21,2023-04-11 13:58:35Z,roja
6,126,18,36,2023-04-09 03:45:23Z,verde
5,221,104,1,2023-02-28 06:25:40Z,roja
5,459,63,18,2023-02-25 13:32:35Z,amarilla
8,410,174,10,2023-02-22 15:44:29Z,roja
6,429,24,15,2023-04-08 01:41:10Z,verde
6,333,218,14,2023-02-25 15:11:49Z,roja
9,115,128,20,2023-02-03 19:44:54Z,roja
7,356,152,24,2023-01-19 17:27:52Z,roja
1,497,204,31,2023-01-19 05:03:17Z,roja
6,457,163,36,2023-02-20 18:51:25Z,roja
2,175,161,19,2023-04-27 12:26:22Z,roja
4,115,38,4,2023-03-19 15:30:50Z,verde
8,488,128,17,2023-02-21 07:39:01Z,roja
4,500,171,27,2023-04-01 05:31:50Z,roja
5,197,127,17,2023-02-09 03:10:53Z,roja
0,455,29,23,2023-03-16 02:06:41Z,verde
3,45,65,35,2023-01-12 21:15:19Z,amarilla
2,93,99,12,2023-01-12 00:30:49Z,amarilla
5,147,98,30,2023-02-03 14:24:44Z,amarilla
4,237,26,8,2023-03-16 01:14:37Z,verde
7,14,65,34,2023-02-15 00:05:11Z,amarilla
1,327,132,36,2023-02-28 15:37:54Z,roja
4,19,232,49,2023-04-20 09:26:35Z,roja
9,353,68,49,2023-03-12 05:22:38Z,amarilla
2,479,235,43,2023-04-17 13:34:58Z,roja
1,130,25,34,2023-02-15 02:40:44Z,verde
6,499,183,6,2023-03-01 01:22:31Z,roja
7,80,233,8,2023-01-07 11:51:01Z,roja
3,258,106,7,2023-04-17 20:16:57Z,roja
6,378,96,15,2023-04-02 01:30:35Z,amarilla
2,191,80,30,2023-01-26 01:11:52Z,amarilla
0,252,209,0,2023-02-12 04:30:14Z,roja
9,280,205,40,2023-03-30 16:46:30Z,roja
2,303,186,4,2023-02-04 15:13:46Z,roja
0,326,12,48,2023-04-02 16:19:05Z,verde
3,499,22,14,2023-02-18 07:26:05Z,verde
1,303,235,24,2023-02-02 20:50:01Z,roja
8,263,139,44,2023-04-03 22:03:10Z,roja
3,445,137,25,2023-04-28 06:53:19Z,roja
9,329,218,41,2023-02-03 10:26:13Z,roja
1,393,78,7,2023-03-03 12:27:02Z,amarilla
2,214,32,4,2023-04-02 20:34:06Z,verde
9,266,124,31,2023-04-24 16:34:43Z,roja
5,367,69,18,2023-04-10 17:21:50Z,amarilla
0,417,14,32,2023-01-24 16:31:38Z,verde
3,381,88,47,2023-04-17 13:45:26Z,amarilla
6,119,170,32,2023-02-18 01:48:43Z,roja
1,372,246,25,2023-02-06 11:52:11Z,roja
8,131,203,32,2023-04-15 19:46:04Z,roja
8,40,161,2,2023-03-05 06:27:48Z,roja
3,134,119,22,2023-02-16 06:15:32Z,roja
6,177,201,14,2023-03-30 04:57:56Z,roja
7,116,117,22,2023-01-30 22:35:43Z,roja
8,16,122,49,2023-02-20 10:29:48Z,roja
8,235,173,24,2023-01-30 12:15:50Z,roja
4,113,172,13,2023-04-23 01:17:56Z,roja
5,81,184,3,2023-03-30 17:29:27Z,roja
8,405,168,35,2023-03-31 16:03:27Z,roja
8,177,99,3,2023-01-19 12:26:31Z,amarilla
5,25,26,14,2023-01-21 18:29:21Z,verde
4,168,151,28,2023-01-28 06:32:53Z,roja
2,18,68,22,2023-03-22 14:56:00Z,amarilla
9,344,137,46,2023-02-24 13:14:57Z,roja
2,45,23,38,2023-03-12 07:09:57Z,verde
8,388,231,41,2023-03-28 02:50:23Z,roja
8,153,243,32,2023-02-06 19:58:38Z,roja
3,429,60,27,2023-04-17 00:38:50Z,amarilla
9,428,236,11,2023-03-17 19:07:06Z,roja
7,199,30,19,2023-04-22 00:18:58Z,verde
9,291,75,29,2023-01-23 05:48:43Z,amarilla
3,128,201,27,2023-01-08 04:08:31Z,roja
8,211,17,35,2023-03-02 02:38:32Z,verde
5,159,210,27,2023-01-06 15:52:16Z,roja
0,209,146,35,2023-02-15 21:05:49Z,roja
2,84,111,35,2023-02-27 16:42:04Z,roja
7,324,116,26,2023-03-02 04:28:37Z,roja
0,373,122,9,2023-04-05 16:41:26Z,roja
7,83,65,28,2023-02-08 04:09:33Z,amarilla
9,138,119,39,2023-04-11 10:54:21Z,roja
8,456,228,3,2023-02-04 21:57:22Z,roja
0,385,204,12,2023-04-23 19:17:28Z,roja
3,244,140,46,2023-01-02 20:15:30Z,roja
5,439,136,40,2023-02-01 20:13:34Z,roja
2,481,124,5,2023-03-12 11:03:04Z,roja
9,39,64,13,2023-02-13 21:05:07Z,amarilla
6,365,43,20,2023-01-16 13:22:14Z,verde
0,123,159,30,2023-04-16 06:44:27Z,roja
8,356,234,7,2023-04-29 12:17:29Z,roja
0,131,216,32,2023-01-23 08:26:41Z,roja
7,484,62,22,2023-03-30 00:47:21Z,amarilla
4,342,200,49,2023-04-26 14:49:56Z,roja
8,24,135,40,2023-01-29 02:22:00Z,roja
4,117,49,44,2023-03-06 18:15:40Z,verde
3,350,240,40,2023-01-24 09:49:50Z,roja
9,394,95,20,2023-04-22 18:40:58Z,amarilla
8,112,69,11,2023-01-10 01:01:41Z,amarilla
9,441,82,24,2023-02-20 21:57:10Z,amarilla
9,66,238,18,2023-01-16 20:25:00Z,roja
7,191,190,10,2023-04-24 07:44:48Z,roja
8,441,156,28,2023-02-22 09:44:01Z,roja
1,371,236,49,2023-03-26 21:09:15Z,roja
1,451,146,9,2023-01-25 22:37:24Z,roja
0,483,224,47,2023-03-08 09:02:14Z,roja
1,365,59,31,2023-04-25 14:47:39Z,amarilla
8,64,217,12,2023-01-31 04:46:22Z,roja
2,90,94,12,2023-04-01 09:42:12Z,amarilla
3,237,130,1,2023-03-11 00:00:35Z,roja
5,130,245,35,2023-02-06 04:49:26Z,roja
0,76,58,27,2023-03-27 20:24:55Z,amarilla
0,35,109,37,2023-01-28 14:46:22Z,roja
0,299,202,16,2023-01-06 02:32:21Z,roja
9,24,44,42,2023-01-05 06:08:11Z,verde
2,130,43,25,2023-03-08 22:13:39Z,verde
6,75,198,26,2023-02-16 19:18:23Z,roja
6,158,243,18,2023-02-14 13:30:14Z,roja
7,452,77,40,2023-03-05 12:34:08Z,amarilla
8,346,180,0,2023-03-02 20:18:51Z,roja
2,78,108,43,2023-01-23 13:37:09Z,roja
3,261,245,47,2023-03-10 06:46:48Z,roja
9,122,232,36,2023-02-12 01:36:54Z,roja
8,177,162,13,2023-03-20 08:58:29Z,roja
0,155,85,5,2023-03-07 07:00:04Z,amarilla
4,128,167,24,2023-02-24 05:33:31Z,roja
8,229,56,48,2023-02-07 14:24:48Z,amarilla
3,171,87,30,2023-01-31 12:17:54Z,amarilla
8,293,207,11,2023-01-22 20:45:55Z,roja
1,457,140,48,2023-03-10 00:21:39Z,roja
0,269,240,48,2023-04-11 22:01:14Z,roja
5,461,168,42,2023-01-10 10:30:03Z,roja
3,392,153,20,2023-02-04 22:16:32Z,roja
5,305,123,30,2023-01-25 01:46:53Z,roja
2,393,189,45,2023-03-29 21:52:08Z,roja
6,400,198,32,2023-02-22 15:04:57Z,roja
8,102,79,34,2023-02-26 06:26:15Z,amarilla
6,440,227,10,2023-02-14 05:20:38Z,roja
3,393,127,31,2023-03-07 14:05:48Z,roja
8,39,211,31,2023-01-07 10:36:40Z,roja
1,497,86,6,2023-01-29 07:49:37Z,amarilla
2,166,187,27,2023-04-12 16:49:10Z,roja
8,378,212,15,2023-03-30 04:51:02Z,roja
4,101,158,9,2023-02-19 08:44:58Z,roja
0,156,52,47,2023-03-01 14:52:50Z,amarilla
5,472,178,11,2023-04-20 13:38:44Z,roja
4,459,72,48,2023-03-20 07:26:24Z,amarilla
6,421,17,48,2023-04-05 15:15:08Z,verde
7,389,40,14,2023-01-24 10:10:19Z,verde
3,271,123,36,2023-03-04 22:34:23Z,roja
8,352,179,13,2023-04-24 18:57:29Z,roja
4,269,167,4,2023-02-14 02:57:14Z,roja
2,247,226,30,2023-01-09 03:17:33Z,roja
3,171,86,24,2023-04-20 11:21:20Z,amarilla
7,312,247,46,2023-02-21 13:26:25Z,roja
4,109,224,45,2023-02-10 17:47:11Z,roja
8,230,74,18,2023-04-15 04:26:51Z,amarilla
3,278,115,6,2023-01-16 16:42:06Z,roja
3,465,69,32,2023-01-04 04:37:31Z,amarilla
7,57,239,30,2023-01-08 16:14:57Z,roja
4,405,238,29,2023-01-25 14:04:27Z,roja
6,37,44,11,2023-01-28 04:15:13Z,verde
6,435,50,5,2023-03-03 15:00:51Z,amarilla
0,371,109,0,2023-02-20 22:00:27Z,roja
8,128,80,25,2023-04-08 11:03:41Z,amarilla
0,436,176,38,2023-01-12 02:23:27Z,roja
4,153,146,28,2023-01-26 17:16:13Z,roja
4,250,38,26,2023-01-02 19:30:47Z,verde
0,276,183,46,2023-03-19 20:53:04Z,roja
8,91,223,15,2023-01-31 06:17:24Z,roja
0,116,52,15,2023-03-09 02:31:56Z,amarilla
9,441,32,46,2023-02-04 02:23:18Z,verde
6,338,146,20,2023-03-24 14:13:30Z,roja
2,166,141,22,2023-02-12 07:47:32Z,roja
6,217,40,43,2023-02-08 00:10:01Z,verde
1,383,86,3,2023-01-20 09:54:42Z,amarilla
9,383,111,46,2023-04-10 17:03:30Z,roja
8,368,131,2,2023-04-07 06:13:19Z,roja
8,448,171,18,2023-02-04 03:22:36Z,roja
8,294,168,16,2023-02-16 03:24:57Z,roja
7,454,122,46,2023-01-13 13:37:29Z,roja
8,183,55,34,2023-02-26 11:52:07Z,amarilla
7,157,72,36,2023-02-28 20:03:53Z,amarilla
8,60,126,3,2023-02-13 01:45:58Z,roja
4,128,157,13,2023-03-24 16:55:04Z,roja
9,205,157,32,2023-02-14 02:42:26Z,roja
7,61,190,46,2023-02-18 02:47:20Z,roja
1,239,121,42,2023-01-28 05:20:57Z,roja
0,126,121,11,2023-03-26 16:38:16Z,roja
0,74,104,6,2023-04-01 06:48:16Z,roja
2,111,37,43,2023-03-03 20:29:05Z,verde
7,434,129,0,2023-01-23 09:06:41Z,roja
0,291,53,13,2023-01-11 10:03:09Z,amarilla
6,315,112,0,2023-04-12 04:44:45Z,roja
5,95,110,18,2023-03-31 02:24:09Z,roja
7,482,240,14,2023-01-30 18:02:01Z,roja
0,40,131,5,2023-01-21 12:54:56Z,roja
9,486,15,20,2023-03-27 16:55:43Z,verde
8,133,41,8,2023-03-09 21:54:43Z,verde
1,460,95,42,2023-03-18 21:49:13Z,amarilla
0,250,206,35,2023-04-10 02:19:05Z,roja
5,429,150,21,2023-04-29 22:57:01Z,roja
9,173,71,9,2023-04-13 01:57:53Z,amarilla
0,483,218,48,2023-04-11 02:48:23Z,roja
5,64,105,46,2023-01-26 22:50:14Z,roja
1,103,91,41,2023-03-18 05:15:06Z,amarilla
1,486,171,18,2023-01-04 03:51:11Z,roja
9,319,155,49,2023-04-22 19:01:03Z,roja
2,353,70,29,2023-01-04 10:33:08Z,amarilla
8,172,114,43,2023-04-10 21:41:22Z,roja
5,173,109,16,2023-03-18 07:23:05Z,roja
1,15,11,24,2023-02-22 02:22:36Z,verde
1,405,23,35,2023-01-10 00:04:20Z,verde
6,266,59,13,2023-03-24 19:15:43Z,amarilla
2,386,115,34,2023-02-11 11:33:58Z,roja
1,12,143,45,2023-04-22 05:21:00Z,roja
4,406,213,46,2023-01-22 10:32:21Z,roja
4,122,159,42,2023-02-15 15:34:46Z,roja
6,101,69,14,2023-04-03 20:01:21Z,amarilla
